Domain,Type,Sponsoring Organisation,Date
.abbott,generic,"Abbott Laboratories, Inc.",2025-02-06
.abogado,generic,Top Level Domain Holdings Limited,2025-02-06
.academy,generic,"Half Oaks, LLC",2025-02-06
.accountant,generic,dot Accountant Limited,2025-02-06
.accountants,generic,"Knob Town, LLC",2025-02-06
.active,generic,"The Active Network, Inc",2025-02-06
.actor,generic,United TLD Holdco Ltd.,2025-02-06
.ads,generic,Charleston Road Registry Inc.,2025-02-06
.adult,generic,ICM Registry AD LLC,2025-02-06
.afl,generic,Australian Football League,2025-02-06
.agency,generic,"Steel Falls, LLC",2025-02-06
.airforce,generic,United TLD Holdco Ltd.,2025-02-06
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,2025-02-06
.alsace,generic,REGION D ALSACE,2025-02-06
.amsterdam,generic,Gemeente Amsterdam,2025-02-06
.android,generic,Charleston Road Registry Inc.,2025-02-06
.apartments,generic,"June Maple, LLC",2025-02-06
.aquarelle,generic,Aquarelle.com,2025-02-06
.archi,generic,STARTING DOT LIMITED,2025-02-06
.army,generic,United TLD Holdco Ltd.,2025-02-06
.associates,generic,"Baxter Hill, LLC",2025-02-06
.attorney,generic,"United TLD Holdco, Ltd",2025-02-06
.auction,generic,"United TLD HoldCo, Ltd.",2025-02-06
.audio,generic,"Uniregistry, Corp.",2025-02-06
.autos,generic,"DERAutos, LLC",2025-02-06
.axa,generic,AXA SA,2025-02-06
.band,generic,"United TLD Holdco, Ltd",2025-02-06
.bank,generic,"fTLD Registry Services, LLC",2025-02-06
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2025-02-06
.barclaycard,generic,Barclays Bank PLC,2025-02-06
.barclays,generic,Barclays Bank PLC,2025-02-06
.bargains,generic,"Half Hallow, LLC",2025-02-06
.bauhaus,generic,Werkhaus GmbH,2025-02-06
.bayern,generic,Bayern Connect GmbH,2025-02-06
.bbc,generic,British Broadcasting Corporation,2025-02-06
.beer,generic,Top Level Domain Holdings Limited,2025-02-06
.berlin,generic,dotBERLIN GmbH & Co. KG,2025-02-06
.best,generic,BestTLD Pty Ltd,2025-02-06
.bid,generic,dot Bid Limited,2025-02-06
.bike,generic,"Grand Hollow, LLC",2025-02-06
.bingo,generic,"Sand Cedar, LLC",2025-02-06
.bio,generic,STARTING DOT LIMITED,2025-02-06
.black,generic,Afilias Limited,2025-02-06
.blackfriday,generic,"Uniregistry, Corp.",2025-02-06
.bloomberg,generic,Bloomberg IP Holdings LLC,2025-02-06
.blue,generic,Afilias Limited,2025-02-06
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft,2025-02-06
.bnpparibas,generic,BNP Paribas,2025-02-06
.boats,generic,"DERBoats, LLC",2025-02-06
.bond,generic,Bond University Limited,2025-02-06
.boo,generic,Charleston Road Registry Inc.,2025-02-06
.boutique,generic,"Over Galley, LLC",2025-02-06
.brussels,generic,DNS.be vzw,2025-02-06
.budapest,generic,Top Level Domain Holdings Limited,2025-02-06
.build,generic,Plan Bee LLC,2025-02-06
.builders,generic,"Atomic Madison, LLC",2025-02-06
