Domain,Type,Sponsoring Organisation,Date
.abbott,generic,"Abbott Laboratories, Inc.",2025-02-04
.abogado,generic,Top Level Domain Holdings Limited,2025-02-04
.academy,generic,"Half Oaks, LLC",2025-02-04
.accountant,generic,dot Accountant Limited,2025-02-04
.accountants,generic,"Knob Town, LLC",2025-02-04
.active,generic,"The Active Network, Inc",2025-02-04
.actor,generic,United TLD Holdco Ltd.,2025-02-04
.ads,generic,Charleston Road Registry Inc.,2025-02-04
.adult,generic,ICM Registry AD LLC,2025-02-04
.afl,generic,Australian Football League,2025-02-04
.agency,generic,"Steel Falls, LLC",2025-02-04
.airforce,generic,United TLD Holdco Ltd.,2025-02-04
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,2025-02-04
.alsace,generic,REGION D ALSACE,2025-02-04
.amsterdam,generic,Gemeente Amsterdam,2025-02-04
.android,generic,Charleston Road Registry Inc.,2025-02-04
.apartments,generic,"June Maple, LLC",2025-02-04
.aquarelle,generic,Aquarelle.com,2025-02-04
.archi,generic,STARTING DOT LIMITED,2025-02-04
.army,generic,United TLD Holdco Ltd.,2025-02-04
.associates,generic,"Baxter Hill, LLC",2025-02-04
.attorney,generic,"United TLD Holdco, Ltd",2025-02-04
.auction,generic,"United TLD HoldCo, Ltd.",2025-02-04
.audio,generic,"Uniregistry, Corp.",2025-02-04
.autos,generic,"DERAutos, LLC",2025-02-04
.axa,generic,AXA SA,2025-02-04
.band,generic,"United TLD Holdco, Ltd",2025-02-04
.bank,generic,"fTLD Registry Services, LLC",2025-02-04
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2025-02-04
.barclaycard,generic,Barclays Bank PLC,2025-02-04
.barclays,generic,Barclays Bank PLC,2025-02-04
.bargains,generic,"Half Hallow, LLC",2025-02-04
.bauhaus,generic,Werkhaus GmbH,2025-02-04
.bayern,generic,Bayern Connect GmbH,2025-02-04
.bbc,generic,British Broadcasting Corporation,2025-02-04
.beer,generic,Top Level Domain Holdings Limited,2025-02-04
.berlin,generic,dotBERLIN GmbH & Co. KG,2025-02-04
.best,generic,BestTLD Pty Ltd,2025-02-04
.bid,generic,dot Bid Limited,2025-02-04
.bike,generic,"Grand Hollow, LLC",2025-02-04
.bingo,generic,"Sand Cedar, LLC",2025-02-04
.bio,generic,STARTING DOT LIMITED,2025-02-04
.black,generic,Afilias Limited,2025-02-04
.blackfriday,generic,"Uniregistry, Corp.",2025-02-04
.bloomberg,generic,Bloomberg IP Holdings LLC,2025-02-04
.blue,generic,Afilias Limited,2025-02-04
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft,2025-02-04
.bnpparibas,generic,BNP Paribas,2025-02-04
.boats,generic,"DERBoats, LLC",2025-02-04
.bond,generic,Bond University Limited,2025-02-04
.boo,generic,Charleston Road Registry Inc.,2025-02-04
.boutique,generic,"Over Galley, LLC",2025-02-04
.brussels,generic,DNS.be vzw,2025-02-04
.budapest,generic,Top Level Domain Holdings Limited,2025-02-04
.build,generic,Plan Bee LLC,2025-02-04
.builders,generic,"Atomic Madison, LLC",2025-02-04
.business,generic,"Spring Cross, LLC",2025-02-04
.buzz,generic,DOTSTRATEGY CO.,2025-02-04
.bzh,generic,Association www.bzh,2025-02-04
.cab,generic,"Half Sunset, LLC",2025-02-04
.cafe,generic,"Pioneer Canyon, LLC",2025-02-04
.cal,generic,Charleston Road Registry Inc.,2025-02-04
.camera,generic,"Atomic Maple, LLC",2025-02-04
.camp,generic,"Delta Dynamite, LLC",2025-02-04
.cancerresearch,generic,Australian Cancer Research Foundation,2025-02-04
.canon,generic,Canon Inc.,2025-02-04
.capetown,generic,ZA Central Registry NPC trading as ZA Central Registry,2025-02-04
.capital,generic,"Delta Mill, LLC",2025-02-04
.caravan,generic,"Caravan International, Inc.",2025-02-04
.cards,generic,"Foggy Hollow, LLC",2025-02-04
.care,generic,"Goose Cross, LLC",2025-02-04
.career,generic,dotCareer LLC,2025-02-04
.careers,generic,"Wild Corner, LLC",2025-02-04
.cartier,generic,Richemont DNS Inc.,2025-02-04
.casa,generic,Top Level Domain Holdings Limited,2025-02-04
.cash,generic,"Delta Lake, LLC",2025-02-04
.casino,generic,"Binky Sky, LLC",2025-02-04
.catering,generic,New Falls. LLC,2025-02-04
.cbn,generic,"The Christian Broadcasting Network, Inc.",2025-02-04
.center,generic,"Tin Mill, LLC",2025-02-04
.ceo,generic,CEOTLD Pty Ltd,2025-02-04
.cern,generic,"European Organization for Nuclear Research (""CERN"")",2025-02-04
.cfd,generic,DOTCFD REGISTRY LTD,2025-02-04
.channel,generic,Charleston Road Registry Inc.,2025-02-04
.chat,generic,"Sand Fields, LLC",2025-02-04
.cheap,generic,"Sand Cover, LLC",2025-02-04
.chloe,generic,Richemont DNS Inc.,2025-02-04
.christmas,generic,"Uniregistry, Corp.",2025-02-04
.chrome,generic,Charleston Road Registry Inc.,2025-02-04
.church,generic,"Holly Fileds, LLC",2025-02-04
.citic,generic,CITIC Group Corporation,2025-02-04
.city,generic,"Snow Sky, LLC",2025-02-04
.claims,generic,"Black Corner, LLC",2025-02-04
.cleaning,generic,"Fox Shadow, LLC",2025-02-04
.click,generic,"Uniregistry, Corp.",2025-02-04
.clinic,generic,"Goose Park, LLC",2025-02-04
.clothing,generic,"Steel Lake, LLC",2025-02-04
.club,generic,".CLUB DOMAINS, LLC",2025-02-04
.coach,generic,"Koko Island, LLC",2025-02-04
.codes,generic,"Puff Willow, LLC",2025-02-04
.coffee,generic,"Trixy Cover, LLC",2025-02-04
.college,generic,XYZ.COM LLC,2025-02-04
.cologne,generic,NetCologne Gesellschaft für Telekommunikation mbH,2025-02-04
.com,generic,VeriSign Global Registry Services,2025-02-04
.community,generic,"Fox Orchard, LLC",2025-02-04
.company,generic,"Silver Avenue, LLC",2025-02-04
.computer,generic,"Pine Mill, LLC",2025-02-04
.condos,generic,"Pine House, LLC",2025-02-04
.construction,generic,"Fox Dynamite, LLC",2025-02-04
.consulting,generic,"United TLD Holdco, LTD.",2025-02-04
.contractors,generic,"Magic Woods, LLC",2025-02-04
.cooking,generic,Top Level Domain Holdings Limited,2025-02-04
.cool,generic,"Koko Lake, LLC",2025-02-04
.country,generic,Top Level Domain Holdings Limited,2025-02-04
.courses,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD,2025-02-04
.credit,generic,"Snow Shadow, LLC",2025-02-04
.creditcard,generic,"Binky Frostbite, LLC",2025-02-04
.cricket,generic,dot Cricket Limited,2025-02-04
.crs,generic,Federated Co-operatives Limited,2025-02-04
.cruises,generic,"Spring Way, LLC",2025-02-04
.cuisinella,generic,SALM S.A.S.,2025-02-04
.cymru,generic,Nominet UK,2025-02-04
.cyou,generic,"Beijing Gamease Age Digital Technology Co., Ltd.",2025-02-04
.dabur,generic,Dabur India Limited,2025-02-04
.dad,generic,Charleston Road Registry Inc.,2025-02-04
.dance,generic,United TLD Holdco Ltd.,2025-02-04
.date,generic,dot Date Limited,2025-02-04
.dating,generic,"Pine Fest, LLC",2025-02-04
.datsun,generic,"NISSAN MOTOR CO., LTD.",2025-02-04
.day,generic,Charleston Road Registry Inc.,2025-02-04
.dclk,generic,Charleston Road Registry Inc.,2025-02-04
.deals,generic,"Sand Sunset, LLC",2025-02-04
.degree,generic,"United TLD Holdco, Ltd",2025-02-04
.delivery,generic,"Steel Station, LLC",2025-02-04
.democrat,generic,United TLD Holdco Ltd.,2025-02-04
.dental,generic,"Tin Birch, LLC",2025-02-04
.dentist,generic,"United TLD Holdco, Ltd",2025-02-04
.desi,generic,Desi Networks LLC,2025-02-04
.design,generic,"Top Level Design, LLC",2025-02-04
.dev,generic,Charleston Road Registry Inc.,2025-02-04
.diamonds,generic,"John Edge, LLC",2025-02-04
.diet,generic,"Uniregistry, Corp.",2025-02-04
.digital,generic,"Dash Park, LLC",2025-02-04
.direct,generic,"Half Trail, LLC",2025-02-04
.directory,generic,"Extra Madison, LLC",2025-02-04
.discount,generic,"Holly Hill, LLC",2025-02-04
.dnp,generic,"Dai Nippon Printing Co., Ltd.",2025-02-04
.docs,generic,Charleston Road Registry Inc.,2025-02-04
.doha,generic,Communications Regulatory Authority (CRA),2025-02-04
.domains,generic,"Sugar Cross, LLC",2025-02-04
.doosan,generic,Doosan Corporation,2025-02-04
.download,generic,dot Support Limited,2025-02-04
.durban,generic,ZA Central Registry NPC trading as ZA Central Registry,2025-02-04
.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2025-02-04
.eat,generic,Charleston Road Registry Inc.,2025-02-04
.education,generic,"Brice Way, LLC",2025-02-04
.email,generic,"Spring Madison, LLC",2025-02-04
.emerck,generic,Merck KGaA,2025-02-04
.energy,generic,"Binky Birch, LLC",2025-02-04
.engineer,generic,United TLD Holdco Ltd.,2025-02-04
.engineering,generic,Romeo Canyon,2025-02-04
.enterprises,generic,"Snow Oaks, LLC",2025-02-04
.epson,generic,Seiko Epson Corporation,2025-02-04
.equipment,generic,"Corn Station, LLC",2025-02-04
.erni,generic,ERNI Group Holding AG,2025-02-04
.esq,generic,Charleston Road Registry Inc.,2025-02-04
.estate,generic,"Trixy Park, LLC",2025-02-04
.eurovision,generic,European Broadcasting Union (EBU),2025-02-04
.eus,generic,Puntueus Fundazioa,2025-02-04
.events,generic,"Pioneer Maple, LLC",2025-02-04
.everbank,generic,EverBank,2025-02-04
.exchange,generic,"Spring Falls, LLC",2025-02-04
.expert,generic,"Magic Pass, LLC",2025-02-04
.exposed,generic,"Victor Beach, LLC",2025-02-04
.express,generic,"Sea Sunset, LLC",2025-02-04
.fail,generic,"Atomic Pipe, LLC",2025-02-04
.faith,generic,dot Faith Limited,2025-02-04
.fan,generic,Asiamix Digital Ltd,2025-02-04
.fans,generic,Asiamix Digital Limited,2025-02-04
.farm,generic,"Just Maple, LLC",2025-02-04
.fashion,generic,Top Level Domain Holdings Limited,2025-02-04
.feedback,generic,"Top Level Spectrum, Inc.",2025-02-04
.film,generic,Motion Picture Domain Registry Pty Ltd,2025-02-04
.finance,generic,"Cotton Cypress, LLC",2025-02-04
.financial,generic,"Just Cover, LLC",2025-02-04
.firmdale,generic,Firmdale Holdings Limited,2025-02-04
.fish,generic,"Fox Woods, LLC",2025-02-04
.fishing,generic,Top Level Domain Holdings Limited,2025-02-04
.fit,generic,Minds + Machines Group Limited,2025-02-04
.fitness,generic,"Brice Orchard, LLC",2025-02-04
.flights,generic,"Fox Station, LLC",2025-02-04
.florist,generic,"Half Cypress, LLC",2025-02-04
.flowers,generic,"Uniregistry, Corp.",2025-02-04
.flsmidth,generic,FLSmidth A/S,2025-02-04
.fly,generic,Charleston Road Registry Inc.,2025-02-04
.foo,generic,Charleston Road Registry Inc.,2025-02-04
.football,generic,"Foggy Farms, LLC",2025-02-04
.forex,generic,DOTFOREX REGISTRY LTD,2025-02-04
.forsale,generic,"United TLD Holdco, LLC",2025-02-04
.foundation,generic,"John Dale, LLC",2025-02-04
.frl,generic,FRLregistry B.V.,2025-02-04
.frogans,generic,OP3FT,2025-02-04
.fund,generic,"John Castle, LLC",2025-02-04
.furniture,generic,"Lone Fields, LLC",2025-02-04
.futbol,generic,"United TLD Holdco, Ltd.",2025-02-04
.gal,generic,Asociación puntoGAL,2025-02-04
.gallery,generic,"Sugar House, LLC",2025-02-04
.garden,generic,Top Level Domain Holdings Limited,2025-02-04
.gbiz,generic,Charleston Road Registry Inc.,2025-02-04
.gdn,generic,"Joint Stock Company ""Navigation-information systems""",2025-02-04
.gent,generic,COMBELL GROUP NV/SA,2025-02-04
